"title","link","date","ep.num","available"
"Something for Nothing","https://www.thisamericanlife.org/radio-archives/episode/62/transcript","05.02.1997",62,TRUE
"One Thing","https://www.thisamericanlife.org/radio-archives/episode/63/transcript","05.09.1997",63,TRUE
"Summer","https://www.thisamericanlife.org/radio-archives/episode/64/transcript","05.23.1997",64,TRUE
"Who&#039;s Canadian?","https://www.thisamericanlife.org/radio-archives/episode/65/transcript","05.30.1997",65,TRUE
"Tales from the Net","https://www.thisamericanlife.org/radio-archives/episode/66/transcript","06.06.1997",66,TRUE
"Your Dream, My Nightmare","https://www.thisamericanlife.org/radio-archives/episode/67/transcript","06.27.1997",67,TRUE
"Lincoln&#039;s Second Inaugural","https://www.thisamericanlife.org/radio-archives/episode/68/transcript","07.04.1997",68,TRUE
"Dream House","https://www.thisamericanlife.org/radio-archives/episode/69/transcript","07.18.1997",69,TRUE
"Other People&#039;s Mail","https://www.thisamericanlife.org/radio-archives/episode/70/transcript","07.25.1997",70,TRUE
"Defying Sickness","https://www.thisamericanlife.org/radio-archives/episode/71/transcript","08.01.1997",71,TRUE
"Trek","https://www.thisamericanlife.org/radio-archives/episode/72/transcript","08.08.1997",72,TRUE
"Blame It on Art","https://www.thisamericanlife.org/radio-archives/episode/73/transcript","08.22.1997",73,TRUE
"Conventions","https://www.thisamericanlife.org/radio-archives/episode/74/transcript","08.29.1997",74,TRUE
"Kindness of Strangers","https://www.thisamericanlife.org/radio-archives/episode/75/transcript","09.12.1997",75,TRUE
"Mob","https://www.thisamericanlife.org/radio-archives/episode/76/transcript","09.19.1997",76,TRUE
"Pray","https://www.thisamericanlife.org/radio-archives/episode/77/transcript","09.26.1997",77,TRUE
"How Bad Is Bad?","https://www.thisamericanlife.org/radio-archives/episode/78/transcript","10.03.1997",78,TRUE
"Stuck in the Wrong Decade","https://www.thisamericanlife.org/radio-archives/episode/79/transcript","10.10.1997",79,TRUE
"Running After Antelope","https://www.thisamericanlife.org/radio-archives/episode/80/transcript","10.17.1997",80,TRUE
"Guns","https://www.thisamericanlife.org/radio-archives/episode/81/transcript","10.24.1997",81,TRUE
"Haunted","https://www.thisamericanlife.org/radio-archives/episode/82/transcript","10.31.1997",82,TRUE
"One of Us","https://www.thisamericanlife.org/radio-archives/episode/83/transcript","11.14.1997",83,TRUE
"Harold","https://www.thisamericanlife.org/radio-archives/episode/84/transcript","11.21.1997",84,TRUE
"Poultry Slam 1997","https://www.thisamericanlife.org/radio-archives/episode/85/transcript","12.05.1997",85,TRUE
"How to Take Money from Strangers","https://www.thisamericanlife.org/radio-archives/episode/86/transcript","12.12.1997",86,TRUE
"A Very Special Sedaris Christmas","https://www.thisamericanlife.org/radio-archives/episode/87/transcript","12.19.1997",87,TRUE
"Numbers","https://www.thisamericanlife.org/radio-archives/episode/88/transcript","01.02.1998",88,TRUE
"Sibling Rivalry","https://www.thisamericanlife.org/radio-archives/episode/89/transcript","01.09.1998",89,TRUE
"Telephone","https://www.thisamericanlife.org/radio-archives/episode/90/transcript","01.16.1998",90,TRUE
"Escape the Box","https://www.thisamericanlife.org/radio-archives/episode/91/transcript","01.30.1998",91,TRUE
"Leave the Mask On","https://www.thisamericanlife.org/radio-archives/episode/92/transcript","02.06.1998",92,TRUE
"Valentine&#039;s Day &#039;98","https://www.thisamericanlife.org/radio-archives/episode/93/transcript","02.13.1998",93,TRUE
"How To","https://www.thisamericanlife.org/radio-archives/episode/94/transcript","02.27.1998",94,TRUE
"Monogamy","https://www.thisamericanlife.org/radio-archives/episode/95/transcript","03.06.1998",95,TRUE
"Pinned by History","https://www.thisamericanlife.org/radio-archives/episode/96/transcript","03.13.1998",96,TRUE
"Death to Wacky","https://www.thisamericanlife.org/radio-archives/episode/97/transcript","03.20.1998",97,TRUE
"Throwing the First Punch","https://www.thisamericanlife.org/radio-archives/episode/98/transcript","03.27.1998",98,TRUE
"I Enjoy Being A Girl, Sort Of","https://www.thisamericanlife.org/radio-archives/episode/99/transcript","04.10.1998",99,TRUE
"Radio","https://www.thisamericanlife.org/radio-archives/episode/100/transcript","04.24.1998",100,TRUE
"Niagara","https://www.thisamericanlife.org/radio-archives/episode/101/transcript","05.01.1998",101,TRUE
"Road Trip!","https://www.thisamericanlife.org/radio-archives/episode/102/transcript","05.22.1998",102,TRUE
"Scenes from A Transplant","https://www.thisamericanlife.org/radio-archives/episode/103/transcript","05.29.1998",103,TRUE
"Music Lessons","https://www.thisamericanlife.org/radio-archives/episode/104/transcript","06.05.1998",104,TRUE
"Take A Negro Home","https://www.thisamericanlife.org/radio-archives/episode/105/transcript","06.12.1998",105,TRUE
"Father&#039;s Day &#039;98","https://www.thisamericanlife.org/radio-archives/episode/106/transcript","06.19.1998",106,TRUE
"Trail of Tears","https://www.thisamericanlife.org/radio-archives/episode/107/transcript","07.03.1998",107,TRUE
"Truth and Lies at Age Ten","https://www.thisamericanlife.org/radio-archives/episode/108/transcript","08.07.1998",108,TRUE
"Notes on Camp","https://www.thisamericanlife.org/radio-archives/episode/109/transcript","08.28.1998",109,TRUE
"Mapping","https://www.thisamericanlife.org/radio-archives/episode/110/transcript","09.04.1998",110,TRUE
"Adventures in the Simple Life","https://www.thisamericanlife.org/radio-archives/episode/111/transcript","09.11.1998",111,TRUE
"Ladies and Germs","https://www.thisamericanlife.org/radio-archives/episode/112/transcript","10.02.1998",112,TRUE
"Windfall","https://www.thisamericanlife.org/radio-archives/episode/113/transcript","10.16.1998",113,TRUE
"Last Words","https://www.thisamericanlife.org/radio-archives/episode/114/transcript","10.23.1998",114,TRUE
"First Day","https://www.thisamericanlife.org/radio-archives/episode/115/transcript","11.13.1998",115,TRUE
"Poultry Slam 1998","https://www.thisamericanlife.org/radio-archives/episode/116/transcript","11.27.1998",116,TRUE
"You Gonna Eat That?","https://www.thisamericanlife.org/radio-archives/episode/117/transcript","12.11.1998",117,TRUE
"What You Lookin&#039; At?","https://www.thisamericanlife.org/radio-archives/episode/118/transcript","12.18.1998",118,TRUE
"Lockup","https://www.thisamericanlife.org/radio-archives/episode/119/transcript","01.08.1999",119,TRUE
"Be Careful Who You Pretend to Be","https://www.thisamericanlife.org/radio-archives/episode/120/transcript","01.22.1999",120,TRUE
"Twentieth Century Man","https://www.thisamericanlife.org/radio-archives/episode/121/transcript","01.29.1999",121,TRUE
"Valentine&#039;s Day &#039;99","https://www.thisamericanlife.org/radio-archives/episode/122/transcript","02.12.1999",122,TRUE
"High Cost of Living","https://www.thisamericanlife.org/radio-archives/episode/123/transcript","02.26.1999",123,TRUE
"Welcome to America","https://www.thisamericanlife.org/radio-archives/episode/124/transcript","03.19.1999",124,TRUE
"Apocalypse","https://www.thisamericanlife.org/radio-archives/episode/125/transcript","04.02.1999",125,TRUE
"Do-Gooders","https://www.thisamericanlife.org/radio-archives/episode/126/transcript","04.09.1999",126,TRUE
"Pimp Anthropology","https://www.thisamericanlife.org/radio-archives/episode/127/transcript","04.16.1999",127,TRUE
"Four Corners","https://www.thisamericanlife.org/radio-archives/episode/128/transcript","04.30.1999",128,TRUE
"Advice","https://www.thisamericanlife.org/radio-archives/episode/129/transcript","05.14.1999",129,TRUE
"Away From Home","https://www.thisamericanlife.org/radio-archives/episode/130/transcript","05.21.1999",130,TRUE
"The Kids Are Alright","https://www.thisamericanlife.org/radio-archives/episode/131/transcript","06.04.1999",131,TRUE
"Father&#039;s Day &#039;99","https://www.thisamericanlife.org/radio-archives/episode/132/transcript","06.18.1999",132,TRUE
"Sales","https://www.thisamericanlife.org/radio-archives/episode/133/transcript","06.25.1999",133,TRUE
"We Didn&#039;t","https://www.thisamericanlife.org/radio-archives/episode/134/transcript","07.09.1999",134,TRUE
"Allure of Crime","https://www.thisamericanlife.org/radio-archives/episode/135/transcript","07.23.1999",135,TRUE
"You Are Here","https://www.thisamericanlife.org/radio-archives/episode/136/transcript","08.06.1999",136,TRUE
"The Book That Changed Your Life","https://www.thisamericanlife.org/radio-archives/episode/137/transcript","08.20.1999",137,TRUE
"The Real Thing","https://www.thisamericanlife.org/radio-archives/episode/138/transcript","08.27.1999",138,TRUE
"Ghosts of Elections Past","https://www.thisamericanlife.org/radio-archives/episode/139/transcript","09.03.1999",139,TRUE
"Family Business","https://www.thisamericanlife.org/radio-archives/episode/140/transcript","09.24.1999",140,TRUE
"Invisible Worlds","https://www.thisamericanlife.org/radio-archives/episode/141/transcript","10.01.1999",141,TRUE
"Barbara","https://www.thisamericanlife.org/radio-archives/episode/142/transcript","10.15.1999",142,TRUE
